Pathways,3d,4d,5d,6d,7d,8d,9d,10d
Alkaloid metabolism,0,50,5,-18,7,-6,-5,0
Amino acid metabolism,26,290,136,-31,69,-41,59,37
Carbohydrate metabolism,3,145,75,10,44,-6,24,12
Carbon metabolism ,3,38,23,9,14,2,8,5
Degradation of aromatic compounds,-2,68,15,-5,11,-15,8,10
Energy metabolism,2,14,2,0,3,-2,-1,1
Genetic Information Processing,4,2,7,0,1,-2,0,1
Glucosinolate biosynthesis,4,29,12,-8,2,-2,7,1
Glycan biosynthesis and metabolism,3,16,2,-1,3,-1,-1,2
Lipid metabolism,-2,128,66,46,54,-13,-6,27
Membrane transport,4,13,2,-6,1,-2,-2,0
Metabolism of cofactors and vitamins,5,87,31,8,24,-10,14,8
Nucleotide metabolism,7,41,21,7,17,-3,5,-2
Phenylpropanoid metabolism,0,109,30,11,39,-30,-12,-6
Plant-pathogen interaction,0,2,1,0,0,0,0,-1
Signal transduction,0,6,3,-5,1,0,-6,1
Terpenoid metabolism,5,82,18,-3,21,-28,-3,6
